l,train_index,test_index,tau_f_rmse,tau_f_se,rmse,se
0.0,134241.0,2837.0,4.8958,3.458,0.7085814219388548,0.5020876315168895
1.0,14118.0,4661.0,5.660200000000001,3.6036,0.8192467968588301,0.6711653141634532
2.0,21471.0,2299.0,1.5834000000000001,1.456,0.9423463790398752,0.8880166980895641
3.0,50150.0,1623.0,4.2952,2.8574,1.1671532017286161,1.3622465963053612
4.0,72405.0,1675.0,3.8402000000000003,2.0020000000000002,0.9108589497390397,0.8296640263197059
5.0,149053.0,4052.0,3.64,3.2032000000000003,0.9052209639050096,0.8194249934931154
6.0,9333.0,1580.0,3.8948,3.6946000000000003,0.6940004141295049,0.4816365748119244
7.0,115938.0,4800.0,5.8604,4.2042,0.9613298920308967,0.9241551613121374
8.0,164825.0,717.0,4.9686,4.7502,0.8393298739746541,0.7044746373463096
9.0,134466.0,4686.0,6.2062,4.732,1.2567686317546534,1.579467393762465
10.0,97596.0,1237.0,4.4408,2.9848000000000003,0.8661985044440546,0.7502998491011167
11.0,42696.0,3995.0,4.5864,1.365,0.7638870581787145,0.5835234376529308
12.0,54732.0,4233.0,7.170800000000001,5.660200000000001,0.602527218905449,0.36303904952193505
13.0,54476.0,1214.0,5.2598,2.4752,0.6737144196045707,0.45389111918312297
14.0,107627.0,669.0,4.6592,3.2032000000000003,0.6464035776518297,0.417837585201085
15.0,13997.0,2171.0,4.186,3.9676,0.7703896442950078,0.5935002040369891
16.0,55423.0,1490.0,5.642,5.2780000000000005,0.8716176598954545,0.7597173450416282
17.0,39886.0,1453.0,4.5864,3.9494000000000002,0.9034716764299866,0.8162610701112104
18.0,13946.0,3721.0,4.0040000000000004,1.9838,0.6655940892544084,0.4430154916504055
19.0,85944.0,3254.0,4.4590000000000005,1.82,0.8123708745778486,0.6599464378623785
20.0,86809.0,1209.0,9.809800000000001,8.372,0.6765349731621971,0.4576995699115748
21.0,2425.0,2218.0,4.277,2.5844,0.7868661298033789,0.6191583062317482
22.0,73693.0,1575.0,4.277,2.73,0.6515893519228736,0.424568683539271
23.0,39464.0,140.0,5.896800000000001,4.4226,0.7431636930876308,0.5522922747236458
24.0,88653.0,4462.0,1.9838,1.8018,0.6116376294724273,0.37410058978665034
25.0,59856.0,244.0,4.368,3.4944,0.8702772966842672,0.7573825731240771
26.0,105994.0,1125.0,5.8786000000000005,4.1314,0.7914779621554023,0.6264373645776685
27.0,71432.0,371.0,1.0010000000000001,0.8736,0.8189658806973672,0.6707051137464145
28.0,131908.0,513.0,4.8048,4.5682,0.7647245289653181,0.5848036052012274
29.0,41911.0,4964.0,5.5692,4.5136,0.8821268679177697,0.7781478111024143
30.0,118922.0,2058.0,4.4226,2.9484000000000004,0.8600564461825696,0.7396970906201911
31.0,117767.0,1762.0,2.2022,2.0566,1.0847875172650836,1.1767639576141447
32.0,12175.0,1246.0,6.042400000000001,4.2224,0.9439032684234566,0.8909533801404845
33.0,174692.0,244.0,4.2588,2.821,0.9672051380280711,0.9354857790279004
34.0,43466.0,2687.0,4.841200000000001,2.1476,0.7243828470319936,0.5247305090741766
35.0,9800.0,4577.0,4.0040000000000004,3.1304000000000003,0.7952429201803278,0.632411302096935
