l,train_index,test_index,tau_f_rmse,tau_f_se,rmse,se
36.0,111039.0,1623.0,4.313400000000001,4.1314,1.1301025606864292,1.277131797670023
37.0,5417.0,354.0,5.7512,4.2588,0.822895549609369,0.6771570855669057
38.0,154531.0,4012.0,6.5884,4.4954,0.7035273114528667,0.49495067796009873
39.0,90367.0,1991.0,5.5328,4.095000000000001,0.7003427192273003,0.4904799243746891
40.0,26252.0,4134.0,0.8554,0.7462000000000001,0.5312365512778351,0.2822122734135676
41.0,57139.0,3379.0,6.006,5.660200000000001,0.7998581767784345,0.6397731029593211
42.0,106071.0,318.0,4.240600000000001,3.9494000000000002,0.8357597446377703,0.6984943507569905
43.0,101373.0,3804.0,4.5318000000000005,3.0940000000000003,0.6860703092691816,0.4706924692607105
44.0,142774.0,1697.0,3.3124000000000002,3.0758,0.8285694501964814,0.6865273337988992
45.0,32383.0,3673.0,4.1496,3.0940000000000003,0.7040753424659805,0.4957220878685875
46.0,29394.0,2012.0,3.3124000000000002,3.1122,0.772298776437196,0.5964454000863906
47.0,159700.0,35.0,3.2032000000000003,2.9848000000000003,1.0501492764077383,1.1028135027396957
48.0,144099.0,1449.0,3.4398,3.2578,0.7052877437503547,0.4974308014844659
49.0,173926.0,881.0,4.768400000000001,3.367,0.7351644059098588,0.5404667037167954
50.0,62642.0,1437.0,4.8048,4.5864,0.7561094303488534,0.5717014706624671
51.0,118230.0,2875.0,4.8594,3.8766000000000003,0.8199527875167071,0.6723225737564182
52.0,1696.0,3489.0,3.2760000000000002,3.0758,0.6989116127999704,0.48847744250665526
53.0,120527.0,3715.0,3.2396000000000003,3.0394,0.6706775103324456,0.44980832286572764
54.0,14803.0,2223.0,4.768400000000001,4.0040000000000004,0.7684690089025692,0.5905446176436964
55.0,80995.0,544.0,2.3478000000000003,2.2022,1.0501762145883642,1.1028700816871462
56.0,46488.0,4342.0,7.534800000000001,5.46,0.7523764682602909,0.5660703499918281
57.0,84074.0,4259.0,3.5308,3.3124000000000002,0.6530541755793587,0.4264797562416367
58.0,118284.0,858.0,4.6592,0.8372,0.857861841377796,0.7359269388921024
59.0,58654.0,3722.0,5.0232,3.6218000000000004,0.7947734425701278,0.6316648250147723
60.0,99401.0,4876.0,4.1314,3.9312,0.7814215201939053,0.6106195922221537
61.0,30494.0,1754.0,3.8766000000000003,3.6946000000000003,0.835954517358341,0.6988199550918176
62.0,9955.0,2720.0,2.6208,2.3842000000000003,0.8493967176721774,0.7214747839922683
63.0,116017.0,4831.0,5.096,4.8048,0.7014612221068055,0.4920478461195728
64.0,150144.0,42.0,4.3316,3.2396000000000003,0.8864861720756788,0.7858577332813903
65.0,37569.0,4922.0,6.1334,2.8756,0.7641565754519286,0.5839352718064198
66.0,162885.0,2289.0,4.0222,3.7856,0.9023751639587159,0.8142809365295186
67.0,100404.0,85.0,3.1122,2.9484000000000004,0.9393702677444359,0.8824164999222529
68.0,5132.0,192.0,4.6046000000000005,3.822,1.0488779837195379,1.100145024731562
69.0,62629.0,1656.0,8.5904,7.098000000000001,0.6592484040032183,0.4346084581807906
70.0,4954.0,4219.0,6.1698,2.1658,0.8066381073830473,0.6506650362825047
71.0,139285.0,2069.0,5.2416,3.1668000000000003,0.6574898649019715,0.43229292244881307
72.0,1889.0,3281.0,4.7138,2.6754000000000002,0.9267816435754573,0.8589242148684264
73.0,87012.0,2825.0,4.9322,3.458,0.7536386207666197,0.5679711707110123
74.0,11239.0,2101.0,4.2042,2.7846,0.753897301316931,0.5683611409329514
75.0,38474.0,3831.0,2.8938,2.73,0.8340356719857115,0.6956155021446583
76.0,143875.0,3475.0,3.9676,1.911,1.0636360792572228,1.1313217090976777
77.0,59917.0,1533.0,4.4044,2.4388,0.8566039635401517,0.7337703503526974
78.0,60592.0,1731.0,6.3518,4.768400000000001,0.5911335456496594,0.34943886879233765
79.0,128189.0,1963.0,4.2952,4.0404,0.7563734286959789,0.5721007636373112
80.0,165039.0,4562.0,4.3316,3.5490000000000004,0.8264846310696728,0.6830768453943742
81.0,26406.0,2598.0,5.2234,3.1304000000000003,0.7191032673606794,0.5171095091288049
82.0,127282.0,2637.0,2.8756,2.7118,0.7131225715895158,0.5085438021104443
83.0,65822.0,1448.0,4.4408,2.9666,0.7919437885551055,0.6271749642310135
84.0,135534.0,4395.0,2.4388,2.275,0.9739918754367842,0.9486601734168646
85.0,157155.0,4544.0,6.0788,5.6966,0.6651136661272717,0.4423761888692597
86.0,85815.0,4949.0,4.4772,4.2042,0.7907745054563191,0.6253243184796857
87.0,7200.0,1101.0,3.4034,3.1122,0.8916067884243157,0.7949626651643222
88.0,160934.0,4165.0,5.969600000000001,4.5318000000000005,0.8919423756978121,0.7955612015654572
89.0,6258.0,4182.0,4.2952,1.4924000000000002,0.5620119260415736,0.315857405012959
90.0,142158.0,4698.0,4.9686,3.5126000000000004,0.6201845938630152,0.384628930465033
91.0,106293.0,3359.0,4.8594,3.8038000000000003,0.8820459451237883,0.7780050493093175
92.0,112665.0,4399.0,3.7128,3.5308,0.9101217279564823,0.8283215596984936
93.0,145671.0,2794.0,3.9676,1.7836,0.8545795409178216,0.7303061917553143
94.0,99953.0,888.0,3.8038000000000003,3.0758,1.0072072006678054,1.0144663450770763
95.0,61397.0,570.0,3.0940000000000003,2.8574,0.9230758124439884,0.8520689555191296
96.0,37711.0,12.0,2.2932,2.0020000000000002,0.8396020007876809,0.7049315197266764
97.0,93935.0,4486.0,4.6046000000000005,2.5844,0.8038073236884665,0.6461062136152151
98.0,64748.0,1173.0,3.185,2.73,0.8117165956343256,0.658883831628179
99.0,127834.0,953.0,4.4590000000000005,4.240600000000001,0.7874665827774558,0.6201036189912039
100.0,147095.0,3586.0,3.5308,3.3488,0.7194389588435859,0.5175924155019425
101.0,124581.0,2512.0,3.2578,3.0758,0.8350131187924756,0.6972469085555372
102.0,54895.0,4385.0,2.3842000000000003,2.1658,0.8620732603544644,0.7431703062181768
103.0,140969.0,625.0,2.4752,2.2568,0.9328293461555897,0.870170589049065
104.0,12817.0,764.0,4.7866,3.2942,0.8176542360584268,0.66855844974429
105.0,144989.0,4167.0,4.986800000000001,3.5854000000000004,0.8185407350328814,0.6700089349081702
106.0,86057.0,1702.0,5.2416,3.2032000000000003,0.784204410917287,0.6149765581021296
107.0,135392.0,4944.0,3.9858000000000002,1.365,0.8763525513910813,0.7679937943296568
108.0,38272.0,890.0,3.5854000000000004,3.1486,0.788271029119092,0.6213712153484724
109.0,11290.0,3235.0,4.841200000000001,3.822,0.8964662897359724,0.8036518086329798
110.0,21536.0,3926.0,2.1294,1.9656,0.8396980647855045,0.7050928400045202
111.0,90486.0,1974.0,5.7330000000000005,5.3872,0.8611448587680451,0.7415704677826364
112.0,66646.0,4673.0,5.3872,5.1688,0.6584083952627179,0.433501614952427
113.0,46955.0,3528.0,3.4944,3.1304000000000003,0.9457701154703783,0.894481111316852
114.0,53761.0,3672.0,2.4752,2.3296,0.8643918688141039,0.7471733028719403
115.0,6746.0,1747.0,4.8958,4.095000000000001,0.7571740943068009,0.573312609089324
116.0,164592.0,3447.0,6.6794,5.096,0.6180176939728032,0.3819458700634614
117.0,137522.0,1818.0,1.365,1.1466,0.6917738226577652,0.47855102171453756
118.0,117725.0,2704.0,4.9504,3.5672,0.8383439261476638,0.7028205385086799
119.0,96717.0,925.0,3.6036,3.3852,0.8033046270603589,0.6452983238565823
120.0,35389.0,3151.0,3.5672,3.367,0.7608727933024418,0.5789274075878601
121.0,104002.0,515.0,2.73,2.5662000000000003,1.0722431066401,1.1497052797372111
122.0,51178.0,3190.0,4.240600000000001,4.0404,0.753812129474112,0.5682327265422952
123.0,56177.0,2666.0,4.914000000000001,3.6582000000000003,0.7862524945173762,0.6181929851347968
124.0,44461.0,4104.0,7.170800000000001,3.2578,0.8322917204456002,0.6927095079222977
125.0,173077.0,1131.0,3.1122,2.8574,0.9232586284263724,0.8524064949637462
126.0,99490.0,966.0,2.6572,2.4752,0.9176541524893739,0.8420891435809906
127.0,57054.0,1962.0,4.3498,2.6026000000000002,0.6843777393399657,0.46837289010408206
128.0,4524.0,306.0,3.64,3.4398,0.8469323951609826,0.7172944819731186
129.0,13084.0,4920.0,4.0586,2.0384,0.8332147631704304,0.6942468415651567
130.0,87886.0,4304.0,4.3316,2.2204,0.6387743472236882,0.40803266667104865
131.0,58265.0,4526.0,1.183,1.0010000000000001,0.6359687259272045,0.40445622035747186
132.0,53939.0,1797.0,3.4216,3.0576000000000003,0.8539894427040672,0.7292979682500025
133.0,137360.0,1517.0,4.641,4.368,0.7198907233408418,0.5182426535521999
134.0,82729.0,4456.0,4.2042,3.4034,0.7630735309882154,0.5822812136948224
135.0,127386.0,3916.0,4.641,4.4590000000000005,1.067407328397628,1.1393584047169614
136.0,93543.0,1645.0,4.7138,3.1486,0.6885408460267725,0.4740884966472636
137.0,6390.0,403.0,3.4944,3.3306,0.9757010172749971,0.9519924751114647
138.0,121394.0,3208.0,4.8048,3.9858000000000002,0.6127376867720145,0.3754474727907195
139.0,74599.0,3656.0,5.3872,1.0374,0.8570160539332843,0.734476516699377
140.0,90438.0,289.0,2.6754000000000002,2.4206000000000003,0.7582724738478129,0.5749771445952822
141.0,140032.0,2238.0,5.4236,3.3306,0.8472109108398056,0.7177663274460129
142.0,110882.0,2229.0,3.8038000000000003,3.5126000000000004,0.6469804722805298,0.4185837315123369
143.0,79705.0,493.0,2.8938,2.73,0.857221716460776,0.7348290711719582
144.0,172339.0,3923.0,3.8584,2.8392,0.8441221448923663,0.7125421954976889
145.0,150800.0,335.0,5.5692,4.6774000000000004,0.7902271185135232,0.6244588988341855
146.0,150823.0,4289.0,2.548,2.3478000000000003,0.6150843501414901,0.3783287577889791
147.0,66608.0,2504.0,4.8048,2.6936,0.617464821397806,0.38126280566382464
148.0,166317.0,2745.0,5.2234,4.4044,0.49480363146295026,0.244830633708923
149.0,117911.0,4467.0,3.1486,2.9666,1.1121793845235144,1.2369429833591037
150.0,39173.0,2317.0,5.1324000000000005,0.6006,0.7652583251537421,0.5856203042171105
151.0,41384.0,157.0,6.2244,4.1132,0.7434237953951515,0.5526789395597312
152.0,1858.0,746.0,4.695600000000001,3.1668000000000003,0.7228299155387471,0.5224830867977523
153.0,130791.0,2162.0,6.2062,4.695600000000001,0.6009593886297793,0.3611521867822776
154.0,142825.0,3825.0,5.7876,3.6764,0.668281529966439,0.4466002032942848
155.0,158035.0,2983.0,4.3862000000000005,2.9302,0.8621992996748159,0.7433876323597431
156.0,20944.0,1626.0,5.4236,3.3488,0.7979577366917828,0.6367365495462728
157.0,52786.0,4006.0,6.7522,5.551,0.7211672321816145,0.5200821767724907
158.0,71294.0,746.0,5.969600000000001,4.5136,0.7903384636216335,0.624634887079804
159.0,100153.0,4554.0,3.7128,3.5308,1.0584763136042834,1.1203721064613137
160.0,106896.0,4466.0,4.8048,3.0940000000000003,0.9601445306585039,0.9218775197534387
161.0,174436.0,4470.0,4.5136,4.1496,0.8951867748515683,0.801359361869152
162.0,39721.0,3449.0,6.6612,5.1142,0.7562282892604946,0.5718812254778538
163.0,160233.0,206.0,3.8038000000000003,2.912,0.8575961972016417,0.735471237454717
164.0,7837.0,738.0,3.1122,2.821,0.7212598363676329,0.5202157515570646
165.0,84735.0,3498.0,5.8786000000000005,5.642,0.5334155433701173,0.2845321419088376
166.0,13801.0,1967.0,4.6774000000000004,4.277,0.8762928367726018,0.7678891357789739
167.0,2798.0,2376.0,1.6380000000000001,1.456,0.601883078367965,0.36226324002569826
168.0,31181.0,859.0,2.912,2.7482,0.8242714857652017,0.6794234822455727
169.0,19648.0,2272.0,5.514600000000001,4.095000000000001,0.7866687529399141,0.6188477268520397
170.0,161152.0,2542.0,0.7644000000000001,0.6734,0.9716477812271634,0.9440994107636709
171.0,92639.0,2641.0,3.7674000000000003,3.5672,0.6128048282409743,0.37552975751545026
172.0,160419.0,681.0,2.8574,2.6754000000000002,0.6261752551669146,0.39209545018335024
173.0,1554.0,446.0,4.167800000000001,3.2942,0.8032012013327617,0.6451321698223922
174.0,107133.0,4623.0,4.3316,3.5308,1.1637291178674956,1.354265459772659
175.0,110857.0,2608.0,4.8048,3.3852,0.8189404144623244,0.6706634024397239
176.0,58405.0,2240.0,1.4742000000000002,1.3104,0.6464385013502255,0.41788273602792486
177.0,155444.0,1787.0,8.608600000000001,8.2264,0.6113339378938794,0.37372918362083746
178.0,19029.0,1129.0,4.0586,0.5824,0.7999048774298069,0.6398478129359941
179.0,15378.0,4953.0,4.9686,4.1314,0.6452705273181562,0.4163740534254512
180.0,9533.0,2558.0,4.167800000000001,3.2760000000000002,1.0122597786673473,1.0246698595076673
181.0,52893.0,4538.0,4.4044,1.8018,0.845301080358388,0.7145339164550586
182.0,144126.0,4815.0,5.7512,4.167800000000001,0.5338741316624033,0.2850215884582854
183.0,116717.0,2064.0,3.458,3.2396000000000003,0.6867976730332324,0.47169104368386283
184.0,132276.0,4020.0,5.9514000000000005,4.2952,0.7840483537467597,0.614731821013004
185.0,170855.0,3683.0,2.5298000000000003,2.3842000000000003,0.8309979425518913,0.6905575805254769
186.0,128968.0,18.0,4.4772,1.7836,0.6837452372381563,0.4675075494458629
187.0,123402.0,1824.0,4.2952,2.8392,0.6591486426797785,0.4344769331465944
188.0,113057.0,2201.0,3.6218000000000004,1.3832,1.005432655921401,1.010894825593164
189.0,36473.0,2555.0,5.642,1.82,0.7267789868543045,0.5282076957329699
190.0,17329.0,162.0,4.6592,1.9656,0.7785131774033057,0.6060827673905907
191.0,139714.0,454.0,4.0768,2.6208,0.6385790075702684,0.4077831489094295
192.0,163221.0,4930.0,4.0404,2.0202,0.9329255610417391,0.8703501024450431
193.0,11547.0,724.0,4.9686,3.5308,0.8477063520401438,0.718606059289208
194.0,30207.0,2199.0,4.8776,2.0384,0.7636249772313896,0.5831231058516397
195.0,99056.0,2830.0,5.4782,4.695600000000001,0.567806620637918,0.3224043584402525
196.0,130911.0,4258.0,2.6936,2.5298000000000003,0.8788234484750668,0.772330653589609
197.0,19330.0,43.0,2.821,2.5662000000000003,0.8122501541773692,0.6597503129611593
198.0,132592.0,4201.0,4.4226,1.7836,1.0608263819369617,1.125352612613466
199.0,112565.0,785.0,2.7664,2.5844,0.8372834366323277,0.701043553258841
200.0,140511.0,1712.0,6.1516,4.0222,0.8553233927583033,0.7315781061995744
201.0,71005.0,4483.0,6.6248000000000005,5.096,0.5117613760897318,0.26189970605725604
202.0,102758.0,1860.0,6.042400000000001,2.7846,0.7168308480062925,0.5138464646534205
203.0,35972.0,2681.0,5.7148,4.2224,0.7732568421744923,0.5979261439696676
204.0,23565.0,972.0,4.9504,2.9484000000000004,0.9190910696314499,0.844728394276283
205.0,122489.0,2696.0,4.0768,3.2942,0.8135682545600572,0.6618933048278981
206.0,25198.0,4511.0,3.5308,3.3488,0.7146534829649127,0.510729600713881
207.0,50121.0,1205.0,6.4064000000000005,6.1516,0.6576716952333601,0.4325320587111216
208.0,12648.0,2739.0,10.2102,1.6926,0.5216103406931567,0.27207734751803103
209.0,36288.0,328.0,4.1496,3.7492,0.7606220897006482,0.5785459633405811
210.0,6017.0,2703.0,3.3124000000000002,3.1304000000000003,1.0772253769272644,1.1604145126960868
211.0,47021.0,4749.0,8.3538,3.185,0.5649154239540327,0.31912943622116463
212.0,120125.0,4211.0,3.9494000000000002,2.9484000000000004,0.9133796817828246,0.8342624430936942
213.0,160704.0,224.0,0.5642,0.4732,0.971817682398695,0.9444296078227707
214.0,170528.0,2561.0,3.3852,3.2032000000000003,0.817760475376309,0.668732195087687
215.0,39010.0,530.0,4.2588,2.821,0.8433048813977725,0.7111631229893125
216.0,99662.0,1712.0,6.0606,4.0040000000000004,0.7938987991641978,0.6302753033143552
217.0,26903.0,2501.0,5.660200000000001,3.6036,0.7585034473156994,0.5753274795898001
218.0,106559.0,4090.0,7.28,5.896800000000001,0.7620163310617776,0.5806688888048525
219.0,157401.0,2211.0,3.9130000000000003,2.2568,0.8235090585920647,0.6781671695831888
220.0,65321.0,937.0,6.188000000000001,3.4944,0.8637466731356818,0.7460583153529576
221.0,54477.0,2584.0,4.2952,0.4914,0.7277313306277674,0.5295928895772609
222.0,30904.0,2939.0,4.1132,2.5844,0.7997654768713754,0.6396248179952989
223.0,70343.0,193.0,2.9484000000000004,2.7664,0.8850278089112256,0.7832742225462038
224.0,165583.0,4259.0,3.5126000000000004,3.3124000000000002,0.5712134639032559,0.3262848213443564
225.0,47457.0,1630.0,4.1132,2.0748,0.823948271145936,0.6788907535243769
226.0,36075.0,398.0,0.9646,0.7644000000000001,0.7334528388162441,0.5379530667676073
227.0,161208.0,3493.0,4.1496,3.2760000000000002,1.3866688617618865,1.922850532180006
228.0,93280.0,3015.0,2.5844,2.3296,0.6382441385958804,0.40735558045199705
229.0,79156.0,4531.0,8.335600000000001,8.099,0.5373775076875967,0.28877458576853304
230.0,134792.0,1008.0,5.1688,4.368,1.0103125678890652,1.0207314848345979
231.0,76020.0,340.0,1.3104,1.1466,0.891172742480502,0.7941888569402196
232.0,64079.0,3938.0,4.313400000000001,2.8392,0.7028893615662212,0.494053454602969
233.0,30129.0,4461.0,4.1132,3.9130000000000003,0.970736172696686,0.9423287169818095
234.0,2134.0,1307.0,7.1344,5.7330000000000005,0.7519179707411009,0.5653806347234146
235.0,163351.0,3242.0,4.732,3.2760000000000002,0.8864972034762533,0.785877291771217
236.0,121454.0,4505.0,3.3124000000000002,3.0576000000000003,0.9481853144391837,0.8990553905181338
237.0,109725.0,3482.0,5.2234,2.0020000000000002,0.8788159533979639,0.7723174799467725
238.0,100706.0,2504.0,4.7866,2.6936,0.5728173326737489,0.32811969661146817
239.0,82451.0,2788.0,4.5682,3.1486,0.6790059400318545,0.46104906659854206
240.0,15808.0,4890.0,5.7148,3.4944,0.6395424663497539,0.4090145662647262
241.0,111752.0,4449.0,2.7482,2.5662000000000003,0.9289861122627809,0.8630151967771161
242.0,65545.0,1321.0,5.587400000000001,5.3508000000000004,0.8608952914334933,0.7411407028123597
243.0,99820.0,3410.0,5.0414,2.2204,0.7604658689430656,0.578308337827332
244.0,103355.0,1571.0,4.5682,2.4570000000000003,0.6602683150907057,0.4359542479127198
245.0,4801.0,682.0,4.095000000000001,2.6572,0.8811810597447198,0.7764800600528272
246.0,166049.0,2409.0,6.570200000000001,5.0232,0.8222521606920153,0.6760986157626876
247.0,34987.0,2183.0,6.2972,5.2780000000000005,0.7414914102066452,0.5498095114102398
248.0,10262.0,1337.0,5.1142,4.2952,0.8301219329774641,0.6891024236102404
249.0,159340.0,482.0,4.641,3.8766000000000003,0.5539342202931511,0.30684312041178147
250.0,65248.0,4467.0,3.185,3.003,1.0606722620734141,1.1250256475319336
251.0,121283.0,761.0,5.551,3.458,0.658103166989133,0.4330997784011265
252.0,2014.0,1768.0,8.099,7.2254000000000005,1.0219129443386914,1.044306065806973
253.0,158651.0,4795.0,5.4054,3.9312,0.7423420708772286,0.5510717501942924
254.0,111852.0,1360.0,4.9322,3.4216,0.6859104176522507,0.47047310104388534
255.0,40851.0,3316.0,3.0394,2.8574,0.6783201294344003,0.46011819799590176
256.0,102896.0,902.0,4.2042,2.7482,0.5781611266473236,0.3342702883661023
257.0,1853.0,1787.0,7.989800000000001,6.8796,0.764892577316953,0.585060654834571
258.0,148067.0,4356.0,3.6582000000000003,2.8756,0.8305783910719432,0.6898604637156575
259.0,157845.0,4380.0,5.096,3.64,0.7521256340744213,0.5656929694318502
260.0,12037.0,4856.0,4.4044,4.2042,0.8207999764431515,0.673712601329078
261.0,126924.0,750.0,7.025200000000001,4.2224,0.9385403142030342,0.8808579213843296
262.0,121946.0,3257.0,2.0384,1.8746,0.9351543218995557,0.8745136057674171
263.0,33708.0,3055.0,5.1142,3.5854000000000004,0.8002673301179215,0.6404277996540664
264.0,42170.0,324.0,2.4752,2.275,0.6660183448295615,0.44358043564950866
265.0,8870.0,4513.0,5.9332,4.6592,0.7381241341609177,0.5448272374308041
266.0,138767.0,3525.0,6.9706,4.3498,0.4425066560987601,0.19581214069170635
267.0,102296.0,3526.0,2.6026000000000002,2.3114,0.8431181619734982,0.7108482350495696
268.0,150521.0,4117.0,3.1668000000000003,2.8028,0.9216164847884282,0.8493769450337794
269.0,41529.0,2363.0,2.6936,2.548,0.9049477018579898,0.8189303430980581
270.0,83922.0,3711.0,5.2052000000000005,1.9474,0.8684550083053861,0.7542141014507083
271.0,110175.0,833.0,2.4570000000000003,2.2932,0.8299317035590308,0.6887866325723951
272.0,86040.0,898.0,5.6056,5.3508000000000004,0.6705028636282834,0.4495740901337279
273.0,172203.0,3779.0,2.4934000000000003,2.1476,0.9076232352319752,0.8237799371329573
274.0,58655.0,4937.0,5.1688,4.3498,0.842969768990636,0.7105980314321267
275.0,36268.0,848.0,4.5318000000000005,3.7674000000000003,0.5845794429170528,0.34173312508121184
276.0,39441.0,669.0,4.7138,3.2578,0.6931832418640819,0.48050300680119845
277.0,42701.0,874.0,3.8766000000000003,3.6764,0.6694635221076893,0.4481814074328326
278.0,163494.0,4274.0,4.4772,4.313400000000001,1.3268655681892787,1.760572236046259
279.0,70365.0,3139.0,3.4944,2.0384,0.8987571621853723,0.8077644365795038
280.0,115863.0,1455.0,4.368,2.9302,0.626221856177845,0.39215381315482545
281.0,47951.0,2871.0,4.9322,3.4762,0.8125200952184226,0.6601889051337537
282.0,6977.0,3348.0,2.6572,2.5116,0.9793057953689096,0.9590398408431325
283.0,79783.0,1614.0,4.8594,3.4034,0.7881423606157412,0.621168380596953
284.0,68336.0,3220.0,5.0778,2.3478000000000003,0.7538173589660905,0.5682406106786118
285.0,130115.0,83.0,4.1496,2.6936,0.7105593472103001,0.5048945859079282
286.0,20973.0,4056.0,3.8402000000000003,3.0212000000000003,0.7545894790021812,0.5694052818207829
287.0,121036.0,974.0,3.6036,3.4398,0.7835597474291202,0.6139658777911865
288.0,173008.0,795.0,4.1496,3.9676,0.7342692039213196,0.5391512638272481
289.0,142957.0,4097.0,4.823,4.6228,0.6843698822703386,0.46836213575871694
290.0,74183.0,4520.0,4.6592,2.0384,0.8398001592006562,0.7052643073934474
291.0,37000.0,2538.0,2.6754000000000002,2.4570000000000003,0.946384533139744,0.8956436845661305
292.0,83279.0,2171.0,4.4044,4.0222,0.8160667586292922,0.6659649545397193
293.0,156898.0,125.0,4.732,2.7118,0.7824519753734258,0.6122310937657758
294.0,4822.0,4876.0,4.0586,2.6390000000000002,0.7702957493325033,0.5933555414397226
295.0,83583.0,2939.0,4.0586,2.5662000000000003,0.8764211091507136,0.7681139605649667
296.0,27239.0,1238.0,4.368,4.186,0.7071326358448953,0.5000365646769492
297.0,48026.0,273.0,4.0586,3.8766000000000003,1.0405486250763256,1.0827414411482321
298.0,86316.0,4816.0,3.4762,3.2942,0.8237233285893704,0.6785201220623521
299.0,30904.0,3148.0,2.6572,2.4934000000000003,0.8612248804099564,0.7417082946371443
300.0,61189.0,1672.0,3.8948,1.82,0.7581167889667175,0.574741065713206
301.0,157556.0,3542.0,4.9504,1.0192,0.7854432140032362,0.6169210424237338
302.0,938.0,927.0,6.8432,5.1324000000000005,0.6209371123258453,0.38556289746355915
303.0,54331.0,2507.0,5.46,3.6946000000000003,1.0257787392273368,1.0522220218508245
304.0,75017.0,628.0,3.185,2.9302,1.025931889269564,1.0525362414202177
305.0,129.0,3533.0,5.296200000000001,3.2396000000000003,0.6641280449753437,0.441066060122772
306.0,16834.0,1225.0,3.6218000000000004,3.4034,0.7655313078162245,0.5860381832468186
307.0,108749.0,4975.0,5.3872,3.3124000000000002,0.9292077577306406,0.8634270570268052
308.0,36796.0,1298.0,4.0586,1.1648,0.8095099633911521,0.6553063808295445
309.0,156859.0,1753.0,3.7674000000000003,3.5490000000000004,0.6304268785936745,0.3974380492533636
310.0,38287.0,852.0,4.8958,4.095000000000001,0.7679830459435958,0.5897979588568033
311.0,157136.0,2129.0,3.5126000000000004,3.3306,0.5963834154114205,0.35567317817779087
312.0,88920.0,231.0,3.9676,3.7310000000000003,0.8898938643699936,0.791911089843361
313.0,120123.0,1489.0,4.0586,3.8766000000000003,0.7928962071612883,0.6286843953307568
314.0,119238.0,645.0,4.6046000000000005,4.0222,0.6153934397095064,0.37870908563749806
315.0,136738.0,4738.0,4.313400000000001,4.1132,0.7172639898991232,0.5144676312060095
316.0,88200.0,1314.0,1.7836,1.5470000000000002,0.7654861911605831,0.5859691088575368
317.0,18122.0,1490.0,6.097,4.0040000000000004,0.7342642796665333,0.5391440323942128
318.0,128981.0,1983.0,4.9686,4.167800000000001,0.8437779592852799,0.711961244575631
