epoch,loss,change,lr,time
0,140548.84453125,,0.0001,0.8058428764343262
1,110994.2271875,-0.210280044936113,0.0001,0.7983782291412354
2,87260.683828125,-0.21382682650046722,0.0001,0.8097927570343018
3,68683.7653515625,-0.21288990254938808,0.0001,0.8016412258148193
4,54012.69453125,-0.21360318184679636,0.0001,0.7912318706512451
5,42761.9166015625,-0.20829877174852227,0.0001,0.7907595634460449
6,34196.780625,-0.20029822461815325,0.0001,0.7985715866088867
7,27647.22875,-0.1915253937738182,0.0001,0.8703858852386475
8,22571.0313671875,-0.18360601088499684,0.0001,0.9468715190887451
9,18561.094892578127,-0.17765853980597426,0.0001,1.0112850666046143
10,15359.06083984375,-0.17251320955288835,0.0001,0.8877427577972412
11,12794.335537109375,-0.1669845135375131,0.0001,0.7965598106384277
12,10731.866723632813,-0.1612017136407332,0.0001,0.8010499477386475
13,9047.576748046875,-0.15694287107357907,0.0001,0.8156101703643799
14,7661.377978515625,-0.15321215924810946,0.0001,0.8163666725158691
15,6511.846318359375,-0.15004241578731886,0.0001,0.8101406097412109
16,5551.045942382812,-0.14754653734190568,0.0001,0.7910411357879639
17,4742.183806152344,-0.14571346456614995,0.0001,0.7780709266662598
18,4058.6746020507812,-0.14413384888514902,0.0001,0.7883331775665283
19,3481.7671044921876,-0.1421418453371679,0.0001,0.7884674072265625
20,2991.619367675781,-0.14077556657480514,0.0001,0.7901194095611572
21,2577.144656982422,-0.1385452692183126,0.0001,0.7817134857177734
22,2225.3164379882815,-0.136518614910075,0.0001,0.8144485950469971
23,1925.1225817871093,-0.13489940175544282,0.0001,0.8837473392486572
24,1668.538871459961,-0.1332817519022395,0.0001,0.9751436710357666
25,1448.9832427978515,-0.13158556412293812,0.0001,0.897376537322998
26,1260.7813696289063,-0.12988547252316385,0.0001,0.8819024562835693
27,1099.2010284423827,-0.12815889025555838,0.0001,0.7918477058410645
28,960.3305651855469,-0.12633763948858517,0.0001,0.787391185760498
29,840.9660403442383,-0.12429524704157052,0.0001,0.7874948978424072
30,738.2681082153321,-0.12211900029502762,0.0001,0.7906796932220459
31,649.6235223388671,-0.12007099438542969,0.0001,0.7871034145355225
32,572.8821235656739,-0.1181321121145644,0.0001,0.7821331024169922
33,506.2851377868652,-0.11624902059136098,0.0001,0.79276442527771
34,448.36993576049804,-0.11439245931558077,0.0001,0.7946693897247314
35,397.9022702026367,-0.11255809440537336,0.0001,0.7871675491333008
36,353.8430712890625,-0.11072869448856505,0.0001,0.7924985885620117
37,315.31410835266115,-0.1088871481813647,0.0001,0.8077142238616943
38,281.56060775756833,-0.10704722592793539,0.0001,0.7872459888458252
39,251.92877540588378,-0.10524139931250041,0.0001,0.9028089046478271
40,225.85528606414795,-0.10349547922712957,0.0001,0.9301388263702393
41,202.8556452178955,-0.10183352910199336,0.0001,0.9906668663024902
42,182.5168126296997,-0.10026259099838722,0.0001,0.8703529834747314
43,164.4864805984497,-0.09878723922179675,0.0001,0.8015127182006836
44,148.46303480148316,-0.09741497136219694,0.0001,0.7859418392181396
45,134.18879579544068,-0.0961467548142824,0.0001,0.796522855758667
46,121.44404823303222,-0.0949762421434703,0.0001,0.7921907901763916
47,110.0418147277832,-0.09388877982204533,0.0001,0.7728335857391357
48,99.8223399734497,-0.09286901328930289,0.0001,0.7986946105957031
49,90.6480075263977,-0.09190660577073372,0.0001,0.7903845310211182
50,82.39885835647583,-0.09100199105335696,0.0001,0.7874023914337158
51,74.9718607378006,-0.09013471505326424,0.0001,0.7970597743988037
52,68.28248735904694,-0.08922512143787428,0.0001,0.7999134063720703
53,62.25325160980225,-0.08829842002593452,0.0001,0.8416390419006348
54,56.81272759914398,-0.08739341110660336,0.0001,0.8293023109436035
55,51.898322002887724,-0.08650184217401148,0.0001,0.9528610706329346
56,47.45510980129242,-0.08561379308849469,0.0001,0.9623441696166992
57,43.43451719045639,-0.08472412407581309,0.0001,0.9576225280761719
58,39.79353143692017,-0.08382701107441418,0.0001,0.788050651550293
59,36.49396763443947,-0.0829170893694392,0.0001,0.7838389873504639
60,33.50164384722709,-0.08199502496375627,0.0001,0.8072268962860107
61,30.785525444746018,-0.0810741829525445,0.0001,0.7907333374023438
62,28.317417240142824,-0.08017105990388126,0.0001,0.7938652038574219
63,26.07187365293503,-0.07929902533711684,0.0001,0.7839207649230957
64,24.02598497748375,-0.078471102717275,0.0001,0.7798745632171631
65,22.159419845342637,-0.07768943224972406,0.0001,0.789818525314331
66,20.453826738595964,-0.07696921303222412,0.0001,0.7793693542480469
67,18.893005902767182,-0.07630947772152308,0.0001,0.777740478515625
68,17.462628296613694,-0.07570937168574042,0.0001,0.7922658920288086
69,16.149970607757567,-0.07516953728612974,0.0001,0.801335334777832
70,14.943736296892165,-0.07468956694484583,0.0001,0.8476645946502686
71,13.833998668193818,-0.07426105537804081,0.0001,0.9687390327453613
72,12.811950721740722,-0.0738794307392062,0.0001,0.8932733535766602
73,11.869809026718139,-0.07353616287517042,0.0001,0.9773640632629395
74,11.000675863027572,-0.07322216909591439,0.0001,0.7839541435241699
75,10.198428852558136,-0.07292706561473436,0.0001,0.7844481468200684
76,9.457579563856125,-0.07264347277533624,0.0001,0.7832303047180176
77,8.773146567940712,-0.07236872725143118,0.0001,0.7783915996551514
78,8.14066041469574,-0.07209342148189296,0.0001,0.7884461879730225
79,7.5560497087240215,-0.07181367065949135,0.0001,0.7960894107818604
80,7.015599919557571,-0.07152544120275713,0.0001,0.7890636920928955
81,6.515896692872047,-0.07122744062022239,0.0001,0.7855889797210693
82,6.053821907043457,-0.07091499568034416,0.0001,0.7796154022216797
83,5.626513758301735,-0.07058485619548217,0.0001,0.7998175621032715
84,5.231332904100418,-0.0702354728304434,0.0001,0.7852206230163574
85,4.865803813934326,-0.069873031762055,0.0001,0.7962725162506104
86,4.527644662261009,-0.06949707892145625,0.0001,0.849506139755249
87,4.214697028994561,-0.06911930078677356,0.0001,0.9018082618713379
88,3.9250096744298935,-0.06873266395467903,0.0001,0.8795316219329834
89,3.656753917336464,-0.06834524736105108,0.0001,0.8978571891784668
90,3.408243841230869,-0.06795920144569272,0.0001,0.793628454208374
91,3.177961546778679,-0.06756626144713426,0.0001,0.7942318916320801
92,2.9645410898327826,-0.06715640003958787,0.0001,0.774444580078125
93,2.7667052435874937,-0.06673405436132715,0.0001,0.7857391834259033
94,2.5833033868670463,-0.06628890343325347,0.0001,0.7894351482391357
95,2.4133040535449983,-0.06580695639013508,0.0001,0.7867553234100342
96,2.255717956721783,-0.0652988986579337,0.0001,0.7823243141174316
97,2.109627677500248,-0.06476442623786473,0.0001,0.7953951358795166
98,1.9741913762688637,-0.06419914882415002,0.0001,0.7903873920440674
99,1.8485962495207786,-0.06361851655205505,0.0001,0.7998096942901611
100,1.7321021342277527,-0.06301760880626328,0.0001,0.7879660129547119
101,1.624065769314766,-0.06237297603767118,0.0001,0.798302412033081
102,1.5239024132490158,-0.06167444567716716,0.0001,0.8944957256317139
103,1.4310044237971307,-0.06096058949983758,0.0001,0.957521915435791
104,1.3447498625516892,-0.06027553780481504,0.0001,0.8898749351501465
105,1.2645089262723923,-0.059669785819526394,0.0001,0.9072344303131104
106,1.1897412532567977,-0.05912783331312653,0.0001,0.784853458404541
107,1.1199943071603775,-0.058623625856037934,0.0001,0.7854228019714355
108,1.0549424552917481,-0.05808230582310834,0.0001,0.7885346412658691
109,0.9943446093797683,-0.05744184965541202,0.0001,0.7824835777282715
110,0.9379856914281846,-0.05667946245189398,0.0001,0.8146302700042725
111,0.8856395196914673,-0.05580700453651334,0.0001,0.7856435775756836
112,0.837002870440483,-0.054916981649517964,0.0001,0.7858104705810547
113,0.7917677134275436,-0.05404420774463282,0.0001,0.781132698059082
114,0.7496206969022751,-0.05323154229517026,0.0001,0.7790048122406006
115,0.7103270104527474,-0.052418091725461316,0.0001,0.8247489929199219
116,0.6736501519382,-0.05163376582170279,0.0001,0.9718606472015381
117,0.6396590191125869,-0.050458138735388236,0.0001,0.9988155364990234
118,0.607868422716856,-0.04969928578484627,0.0001,1.0266914367675781
119,0.5832409377396107,-0.04051449961354014,0.0001,1.0023319721221924
120,0.5681834605336189,-0.025816907270515135,0.0001,0.7866029739379883
121,0.545574881285429,-0.03979098445941511,0.0001,0.7834312915802002
122,0.5113183888792991,-0.0627897170144969,0.0001,0.7854018211364746
123,0.4798284855484962,-0.06158570475007183,0.0001,0.7860949039459229
124,0.458968210965395,-0.04347443974539294,0.0001,0.7913804054260254
125,0.46195964053273203,0.006517727145078033,0.0001,0.7887411117553711
126,0.4365665130317211,-0.054968281367020616,9e-05,0.7984733581542969
127,0.40683473482728005,-0.06810366190931538,9e-05,0.8395836353302002
128,0.3877439887821674,-0.046925064186610126,9e-05,0.7807431221008301
129,0.36808125853538515,-0.05071059981752212,9e-05,0.8117525577545166
130,0.35491644844412806,-0.03576604292117605,9e-05,0.7900245189666748
131,0.34177620738744735,-0.03702347725580063,9e-05,0.7956638336181641
132,0.33077026784420016,-0.03220218173575359,9e-05,0.8841228485107422
133,0.31941704228520396,-0.034323597562111646,9e-05,0.908440113067627
134,0.30936506122350693,-0.03146977064774684,9e-05,0.9063172340393066
135,0.301400204449892,-0.025745818684613987,9e-05,0.8622415065765381
136,0.2934983991086483,-0.026216987329739583,9e-05,0.7890982627868652
137,0.29459778919816015,0.0037458129000046084,9e-05,0.7834277153015137
138,0.2946574179828167,0.00020240744107020815,8.1e-05,0.7799115180969238
139,0.2759750005602837,-0.06340385913387221,7.290000000000001e-05,0.7869513034820557
140,0.2585908745229244,-0.06299166954277045,7.290000000000001e-05,0.7861392498016357
141,0.249088886231184,-0.03674525757829105,7.290000000000001e-05,0.7888000011444092
142,0.2402779707312584,-0.03537257576296692,7.290000000000001e-05,0.7795054912567139
143,0.2343959341943264,-0.024480132402611456,7.290000000000001e-05,0.7910251617431641
